"exposure","outcome","beta","se","t_value","p_value","n","df","p_fdr","sig_fdr05","sig_fdr01","sig_bonf"
"log_URX2MH","log_LBXSATSI",-0.0210240340472319,0.0226294331876182,-0.929057032623128,0.388708182827566,1544,6,0.692961662979504,FALSE,FALSE,FALSE
"log_URX34M","log_LBXSATSI",-0.0121248806778986,0.0226783189733841,-0.534646359464681,0.612116575477119,1544,6,0.844893503635129,FALSE,FALSE,FALSE
"log_URXAAM","log_LBXSATSI",-0.0731010126381866,0.0327909963384869,-2.22930135710416,0.0673306010587658,1544,6,0.352012916759203,FALSE,FALSE,FALSE
"log_URXAMC","log_LBXSATSI",-0.0608986221501371,0.0268876647901189,-2.26492790004274,0.064112708918358,1544,6,0.352012916759203,FALSE,FALSE,FALSE
"log_URXATC","log_LBXSATSI",0.0414706360588187,0.022693331224637,1.82743712892166,0.117404314399597,1544,6,0.418936050846295,FALSE,FALSE,FALSE
"log_URXBMA","log_LBXSATSI",0.038241773095976,0.0204196768070142,1.87279032167834,0.110251511838675,1544,6,0.408939303969537,FALSE,FALSE,FALSE
"log_URXBPM","log_LBXSATSI",-0.00263519626358792,0.0175365917197821,-0.15026843902714,0.885477172678626,1544,6,0.962693188869175,FALSE,FALSE,FALSE
"log_URXCEM","log_LBXSATSI",0.00778941143277971,0.0205081390758596,0.37982048999993,0.717159473707593,1544,6,0.890648086342727,FALSE,FALSE,FALSE
"log_URXCYHA","log_LBXSATSI",-0.0970195898872032,0.0331781185351472,-2.92420408904217,0.0264859980240917,1544,6,0.28131929156514,FALSE,FALSE,FALSE
"log_URXCYM","log_LBXSATSI",-0.0279806422013027,0.0182340675729854,-1.53452552971544,0.175799342494875,1544,6,0.501300816489187,FALSE,FALSE,FALSE
"log_URXDHB","log_LBXSATSI",-0.0676557426134974,0.0541302380780164,-1.2498696664882,0.257888171445408,1544,6,0.592279054037301,FALSE,FALSE,FALSE
