"exposure","outcome","beta","se","t_value","p_value","n","df","weight","p_fdr","sig_fdr05","sig_fdr01"
"log_URXUP8","LBXSPH",0.0361035449309971,0.0193382287648437,1.86695200320684,0.104142968678029,1579,7,"WTSA2YR",0.325377775978336,FALSE,FALSE
"log_URXUP8","LBXPLTSI",-3.78660309543066,2.03137074954353,-1.86406302063843,0.104585713707322,1589,7,"WTSA2YR",0.325377775978336,FALSE,FALSE
"log_SSGLYP","LBXSCH",-3.0998730387412,1.6897063552293,-1.83456316486455,0.109212257720549,1373,7,"WTSSBJ2Y",0.33359380540095,FALSE,FALSE
"log_LBXVBZ","LBXTC",3.75845579761625,2.07214339112192,1.81380102058541,0.112586330583257,2325,7,"WTMEC2YR",0.337758991749771,FALSE,FALSE
"log_SSGLYP","BMXBMI",0.343212765754751,0.197985165520033,1.73352768553774,0.121230691887601,1389,8,"WTSSBJ2Y",0.355802027715325,FALSE,FALSE
"log_SSGLYP","LBXSKSI",0.0251042856449485,0.0143423753505309,1.75035759638095,0.123528561924941,1373,7,"WTSSBJ2Y",0.355802027715325,FALSE,FALSE
"log_URXUIO","PHQ9_total",0.416594575151763,0.241683584727861,1.72371895104442,0.128419621451765,1494,7,"WTSA2YR",0.355802027715325,FALSE,FALSE
"log_URXUIO","LBXSC3SI",-0.146796053803459,0.0852531303552296,-1.72188461809901,0.128763109295931,1590,7,"WTSA2YR",0.355802027715325,FALSE,FALSE
"log_URXUIO","LBXSTR",8.5519738788659,4.97320191264954,1.71961123418569,0.129190021968064,1590,7,"WTSA2YR",0.355802027715325,FALSE,FALSE
"log_URXUDMA","LBXSATSI",1.24375948841363,0.72823553810483,1.70790825678518,0.13140902126158,1592,7,"WTSA2YR",0.356076057612022,FALSE,FALSE
"log_URXUP8","LBXSNASI",0.155302582508937,0.09281096863844,1.67332142727595,0.138179675536958,1579,7,"WTSA2YR",0.36847913476522,FALSE,FALSE
"log_LBXBGM","LBXWBCSI",-0.121225958256729,0.0732200914214938,-1.65563789805844,0.141767117293841,4873,7,"WTMEC2YR",0.372138682896332,FALSE,FALSE
"log_LBXBGM","LBXSTP",0.0114295561390219,0.00695814436468758,1.64261555092571,0.144464670962432,4833,7,"WTMEC2YR",0.373385611102902,FALSE,FALSE
"log_LBXVBZ","eGFR",0.772744659631745,0.482833529491461,1.60043702939527,0.153535008166355,2319,7,"WTMEC2YR",0.390816384423449,FALSE,FALSE
