"exposure","outcome","outcome_type","beta","se","t_value","p_value","n","p_fdr","p_bonferroni","sig_fdr05","sig_fdr01","sig_bonf","exposure_label","outcome_label"
"log_PFNA","LBXTT4","continuous",-0.0537911679786416,0.0981815377944206,-0.547874571808738,0.612915964418694,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","Total T4"
"log_PFOA","log_Tg","continuous",0.0376989182645715,0.0694459214230022,0.542852877348168,0.616064012443334,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","log Thyroglobulin"
"log_PFOA","LBXT4F","continuous",0.00387716216807277,0.00728521395895229,0.532196060392762,0.622777751228462,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","Free T4"
"log_PFNA","log_Tg","continuous",0.0443048347350541,0.0850433194110624,0.520967843704498,0.629899705763111,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","log Thyroglobulin"
"log_PFOS","log_Tg","continuous",0.0358852693315104,0.0707764598779681,0.507022665352058,0.638813063229067,1383,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","log Thyroglobulin"
"log_PFUA","log_TgAb","continuous",-0.0211892966286523,0.042575634462347,-0.49768598627442,0.6448224140934,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFUA","log Tg Ab"
"log_PFNA","LBXTT3","continuous",-0.599035176372423,1.27520028319876,-0.469757719053967,0.66299309725399,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","Total T3"
"log_PFOS","log_TSH","continuous",-0.0171978229163195,0.03675075719424,-0.467958328733833,0.664173689001676,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","log TSH"
"log_PFOS","LBXT4F","continuous",0.00632568975952643,0.0140370164696936,0.450643466379327,0.675593896758857,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","Free T4"
"log_PFDeA","log_TSH","continuous",0.0129120391216059,0.0328215543216031,0.393401208092916,0.714091208222279,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","log TSH"
"log_PFDeA","log_TPO","continuous",-0.0270117949627235,0.0732567346440028,-0.368727804945028,0.731017580280616,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","log TPO Ab"
"log_PFOA","LBXTT3","continuous",-0.460417950072381,1.25983640533862,-0.365458521536081,0.733274616619342,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","Total T3"
"log_PFHxS","log_TgAb","continuous",-0.0166252030316114,0.0461017199398793,-0.360620017068606,0.736620990144511,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","log Tg Ab"
"log_PFNA","log_TgAb","continuous",0.0156455282080717,0.0490819541507197,0.318763351598182,0.765856946242843,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFNA","log Tg Ab"
"log_PFOS","log_TPO","continuous",-0.0325703621483687,0.106582048649635,-0.305589567483701,0.77516016719092,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOS","log TPO Ab"
"log_PFHxS","LBXTT3","continuous",0.236311151902654,0.88617654614559,0.266663739782423,0.802910788718873,1385,0.993135844883168,1,FALSE,FALSE,FALSE,"PFHxS","Total T3"
"log_PFOA","log_TPO","continuous",0.0317271449041582,0.119039698789012,0.266525749198946,0.803009823679229,1374,0.993135844883168,1,FALSE,FALSE,FALSE,"PFOA","log TPO Ab"
"log_PFDeA","log_TgAb","continuous",-0.0124275563937778,0.0511981004825825,-0.242734716261702,0.820149618914102,1375,0.993135844883168,1,FALSE,FALSE,FALSE,"PFDeA","log Tg Ab"
